,english_sentence,hindi_sentence
3119,Sheshnagachya udaramadhye Paduka ase kadachit he ekmeva kshetra ahe.,शेषनागाच्या उदरामध्ये पादुका असे कदाचित हे एकमेव क्षेत्र आहे.
3120,"kamachya thikani streeyancha laingik chal vidheyak (pratibandhatmak va nivaran) 2012 he vidheyak Bharatachya sansadene dinank 3 September, I.","कामाच्या ठिकाणी स्त्रियांचा लैंगिक छळ विधेयक (प्रतिबंधात्मक व निवारण) २०१२ हे विधेयक भारताच्या संसदेने दिनांक ३ सप्टेंबर, इ."
3121,"General Douglas, Mack Arthur, Jimmy Stewart, Frank Sinatra,Howard Hughes yanchyatil junior ani senior sathi 6vya va 7vya majlyavaril suites rakhiv asat.","जनरल डग्लस, मॅक आर्थर, जिम्मी स्टिवर्टं, फ्रँक सिनात्रा,हॉवर्ड हुजस यांच्यातिल जुनीयर आणि सीनियर साठी 6व्या व 7व्या मजल्यावरील सुट्स राखीव असत."
3122,ha vimantal Air choice One ani Cape Air ya vimancompanyache mukhya thane asun Southwest Airlinescha yethe motha tal ahe.,हा विमानतळ एर चॉइस वन आणि केप एर या विमानकंपन्याचे मुख्य ठाणे असून साउथवेस्ट एरलाइन्सचा येथे मोठा तळ आहे.
3123,hastalikhite mhanje hatane lihilele grantha.,हस्तलिखिते म्हणजे हाताने लिहिलेले ग्रंथ.
3124,Durg - Dhakoba ha Bharatachya Maharashtra rajyatil ek killa ahe.,दुर्ग - ढाकोबा हा भारताच्या महाराष्ट्र राज्यातील एक किल्ला आहे.
3125,Maharashtra urja vikas abhikaran,महाराष्ट्र उर्जा विकास अभिकरण
3126,kalya pankhanmule malranavar sahajpane olakhta yeto.,काळ्या पंखांमुळे माळरानावर सहजपणे ओळखता येतो.
3127,yamule krodhit houn Amba Bhishmala shaap dete ki ya janmat kivva pudhil janmat ti Bhishmachya mrutyuche karan banel.,यामुळे क्रोधित होऊन अंबा भीष्माला शाप देते की या जन्मात किंवा पुढील जन्मात ती भीष्माच्या मूत्यूचे कारण बनेल.
3128,"he 4 star hotel atishay sunder,vyavasaikasathi adarsh tasech pravashyansathi aramdai ahe.","हे 4 स्टार हॉटेल अतिशय सुंदर,व्यवसाइकासाठी आदर्श तसेच प्रवाश्यांसाठी आरामदाई आहे."
3129,Court Chalu Ahe he Vijay Tendulkar yanni lihilele ani Marathi rangabhumivar mailacha dagad tharlele Marathi natak ahe.,कोर्ट चालू आहे हे विजय तेंडुलकर यांनी लिहिलेले आणि मराठी रंगभूमीवर मैलाचा दगड ठरलेले मराठी नाटक आहे.
3130,Solapurkar he Marathitil ek adnav ahe va Solapur he mul gaav asnarya vyakti samanyatah he adnav lavtat.,सोलापुरकर हे मराठीतील एक आडनाव आहे व सोलापूर हे मूळ गाव असणाऱ्या व्यक्ती सामान्यत: हे आडनाव लावतात.
3131,dhaman,धामण
3132,tyanna utta Gandhi asedekhil mhant.,त्यांना उत्ता गांधी असेदेखील म्हणत.
3133,1896: rasal lekhan karnare kadambarikar Raghunath Vaman Dighe.,१८९६: रसाळ लेखन करणारे कादंबरीकार रघुनाथ वामन दिघे
3134,ha nirnay Bharat sarkarche kendriya mantrimandal ghet aste.,हा निर्णय भारत सरकारचे केंद्रीय मंत्रीमंडळ घेत असते.
3135,"6 April, 1652 roji yethe Jan Van Riebeeck ya pahilya Europea rahivashane kayam vasti keli hoti.","६ एप्रिल, १६५२ रोजी येथे यान व्हान रीबेक या पहिल्या युरोपीय रहिवाशाने कायम वस्ती केली होती."
3136,pudhe yache naav King Edward Memorial Hospital ase thevnyat ale.,पुढे याचे नाव किंग एडवर्ड मेमोरिअल हॉस्पिटल असे ठेवण्यात आले.
3137,Britishanchya julumavirudha sanyasi ekatra yeun tyanni Bharatmatechya swatantryasathi dilela ladha asa ya kadambaricha aashay ahe.,ब्रिटिशांच्या जुलूमाविरुद्ध संन्यासी एकत्र येऊन त्यांनी भारतमातेच्या स्वातंत्र्यासाठी दिलेला लढा असा या कादंबरीचा आशय आहे.
3138,yatil eka zopdichi jameen chunkhadi takun keleli hoti.,यातील एका झोपडीची जमीन चुनखडी टाकून केलेली होती.
3139,tyamule fakta Sanskrut ani Prakrut hyach bhashancha aaropanantun Marathicha janma zala ha tarka yogya vatat nahi.,त्यामुळे फक्त संस्कृत आणि प्राकृत ह्याच भाषांच्या आरोपणांतून मराठीचा जन्म झाला हा तर्क योग्य वाटत नाही.
3140,rajyashastrat padavi ghetli.,राज्यशास्त्रात पदवी घेतली.
3141,Karandikar yanni Rashtriya Swayamsevak Sangha va sanghashi salagna vividh sansthanmadhyehi kaam kele.,करंदीकर यांनी राष्ट्रीय स्वयंसेवक संघ व संघाशी संलग्न विविध संस्थांमध्येही काम केले.
3142,hi khanta vruttapatranni mandlyanantarhi Maharashtra Sarkarne tyanchyakade durlakshach kele.,ही खंत वृत्तपत्रांनी मांडल्यानंतरही महाराष्ट्र सरकारने त्यांच्याकडे दुर्लक्षच केले.
3143,a) jeevshastriya ghatak- temporel lob ani limbik system karnibhut,अ) जीवशास्त्रीय घटक- टेंपोरेल लोब आणि लिंबिक सिस्टिम कारणीभूत
3144,patrakaritesathi Acharya Atre puraskar : Dnyanesh Maharao,पत्रकारितेसाठी आचार्य अत्रे पुरस्कार : ज्ञानेश महाराव
3145,vachnalayachya sandarbha vibhagat anek prakarchi durmil granthasampada ahe.,वाचनालयाच्या संदर्भ विभागात अनेक प्रकारची दुर्मीळ ग्रंथसंपदा आहे.
3146,ya pakshache Dr.,या पक्षाचे डॉ.
3147,"sharirik ritine te satkarma suru zale ki mun kahi gharguti, parivarapaiki, udyog dhandyavishayi kivva shatru-mitranvishayi vichar karu lagte.","शारीरिक रितीने ते सत्कर्म सुरु झाले की मन काही घरगुती, परिवारापैकी, उद्योग धंद्याविषयी किंवा शत्रु-मित्रांविषयी विचार करू लागते."
3148,"Bhagwadgitecha 17va adhyay ""Shradhatrayavibhagyog"" asa ahe.","भगवद्गीतेचा १७वा अध्याय ""श्रद्धात्रयविभागयोग"" असा आहे."
3149,Samsung BGT-C6112 C ha Samsungchya C malikemadhil ek bhramandhwani ahe.,सॅमसंग बीजीटी-सी६११२ सी हा सॅमसंगच्या सी मालिकेमधील एक भ्रमणध्वनी आहे.
3150,"Chandrakant dada Patil (janma: 10 June 1959) he July 2016 pasun Maharashtrachya mantrimandalat mahsul, krushi va phalotpadan, sarvajanik bandhkam (sarvajanik upakram vagalun) ani madat va punarvasan ya khatyanche mantri ahet.","चंद्रकांत दादा पाटील (जन्म: १० जून १९५९) हे जुलै २०१६ पासून महाराष्ट्राच्या मंत्रिमंडळात महसूल, कृषी व फलोत्पादन, सार्वजनिक बांधकाम (सार्वजनिक उपक्रम वगळून) आणि मदत व पुनर्वसन या खात्यांचे मंत्री आहेत."
3151,"dharmache dhyey: jati, varna, varga rahit dharmasobat Sharan samaj nirman (Kalyan Rajya Nirman)","धर्माचे ध्येय: जाति, वर्ण, वर्ग रहित धर्मासोबत शरण समाज निर्माण (कल्याण राज्य निर्माण)"
3152,Shivsena Bhavan,शिवसेना भवन
3153,Visakhapatnam te Hyderabad darmyan ekun 18 sthanake ahet.,विशाखापट्टणम ते हैद्राबाद दरम्यान एकीण १८स्थानके आहेत.
3154,Rajsanyas (Sambhaji),राजसंन्यास (संभाजी)
3155,Khakurdi,खाकुर्डी
3156,Moreshwar Save he Hyderabadchya Usmaniya Vidyapithache B.,मोरेश्वर सावे हे हैदराबादच्या उस्मानिया विद्यापीठाचे बी.
3157,ha chitrapat tantrikdrushtya saksham karnyasathi 17 koti rupaye kharcha zale.,हा चित्रपट तांत्रिकदृष्ट्या सक्षम करण्यासाठी १७ कोटी रूपये खर्च झाले.
3158,yethe Sant Mahipati Maharajanchi Samadhi sthal asun Sant Mahipati yanchya kulatil Vitthal Mandir ahe.,येथे संत महिपती महाराजांची समाधी स्थळ असून संत महिपती यांच्या कुळातील विठ्ठल मंदिर आहे.
3159,kahi thikani jara-jeevantika ya Devanche vaidya asnarya Ashwini Kumaranchya patni ahet asahi ullekh ahe.,काही ठिकाणी जरा-जिवंतिका या देवांचे वैद्य असणार्‍या अश्विनी कुमारांच्या पत्नी आहेत असाही उल्लेख आहे.
3160,tyache bandhkam sadhya suru ahe.,त्याचे बांधकाम सध्या सुरू आहे.
3161,tyane prakashacha ni bhingachahi abhyas kela.,त्याने प्रकाशाचा नि भिंगांचाही अभ्यास केला.
3162,tasech ti Siddhanchi bhumi ahe.,तसेच ती सिद्धांची भूमी आहे.
3163,Montevideoche jagatil khalil shaharansobat sanskrutik va vyapari sambandh ahet.,मोन्तेविदेओचे जगातील खालील शहरांसोबत सांस्कृतिक व व्यापारी संबंध आहेत.
3164,"Adelie penguin, sea patrol va south Polar skua vagayre pakshi madhunmadhun yetat.","अ‍ॅडेलाय पेंग्विन, सी पेट्रेल व साउथ पोलर स्कुआ वगैरे पक्षी मधूनमधून येतात."
3165,yachi rajdhani Hariharalay yethe hoti.,याची राजधानी हरिहरालय येथे होती.
3166,18 vya shatakamadhye British East India companyne aple bastan Bharatat basvayla suruwat keli; tyadarmyan Bhartatil Muslim rajvati dekhil astala jau laglya hotya.,१८ व्या शतकामध्ये ब्रिटीश ईस्ट इंडिया कंपनीने आपले बस्तान भारतात बसवायला सुरुवात केली; त्यादरम्यानभारतातील मुस्लिम राजवटी देखील अस्ताला जाऊ लागल्या होत्या.
3167,yaveli yethun dudh bhakri nenarya eka Adivasi mahilekade ek chitthi Bhai Kotwal yanni Borgaon yethil Patil navachya vyaktina denyasathi pathavli.,यावेळी येथून दूध भाकरी नेणा-या एका आदिवासी महिलेकडे एक चिठ्ठी भाई कोतवाल यांनी बोरगाव येथील पाटील नावाच्या व्यक्तीना देण्यासाठी पाठवली.
3168,Police Times,पोलीस टाईम्स
3169,tyache te sansthapak sachiv va kendriya karyakarini sadasya hote.,त्याचे ते संस्थापक सचिव व केंद्रीय कार्यकारिणी सदस्य होते.
3170,arthavagaman kshamata,अर्थावगमान क्षमता
3171,Indapur he Raigad zillyatil ek gav ahe.,इंदापूर हे रायगड जिल्ह्यातील एक गाव आहे.
3172,G.V. Akolkar puraskar,ग.वि. अकोलकर पुरस्कार
3173,tasech sthalantar pakshihi yetat.,तसेच स्थलांतरीत पक्षीही येतात.
3174,dhatuvar nakshikaam tayar karne hi ek kala ahe.,धातूवर नक्षीकाम तयार करणे ही एक कला आहे.
3175,parivartanacha vatsuru,परिवर्तनाचा वाटसरू
3176,"Pachlegavkar Maharaj: sansthapak Mukteshwar Dal, Hindu Rashtra Sena. Samajik karyakarte, Hyderabad muktisangram ladhyache nete.","पाचलेगावकर महाराज: संस्थापक मुक्तेश्वर दल, हिंदू राष्ट्र सेना. सामाजिक कार्यकर्ते, हैदराबाद मुक्तिसंग्राम लढ्याचे नेते."
3177,mothe bandhu Vamanrao G shikavni ghet tiche thodefar utpanna hote.,मोठे बंधू वामनराव जी शिकवणी घेत तिचे थोडेफार उत्पन्न होते.
3178,"Lokmat Media Private Ltd., Nagpur","लोकमत मीडिया प्रायव्हेट लि., नागपूर."
3179,he shodhun kadhnyasathi tyanchyakade Jew kaidi hote.,हे शोधून काढण्यासाठी त्यांच्याकडे जू कैदी होते.
3180,"ya bhattit matiche gole, pranyanchya murti va streemurtihi bhajlelya swarupat adhallya.","या भट्टीत मातीचे गोळे, प्राण्यांच्या मूर्ती व स्त्रीमूर्तीही भाजलेल्या स्वरुपात आढळल्या."
3181,"Jhanshimadhil Shankar killyavaril mothya vihiritun sampurna Jhanshila pani puravtha vhaycha, ti vihir ani jithe darugola tayaar vhaycha, to karkhana, hi don thikane Ingrajanni udhvasta keli.","झांशीमधील शंकर किल्ल्यावरील मोठ्या विहीरीतून संपूर्ण झांशीला पाणी पुरवठा व्हायचा, ती विहीर आणि जिथे दारुगोळा तयार व्हायचा, तो कारखाना, ही दोन ठिकाणे इंग्रजांनी उद्ध्वस्त केली."
3182,ya parshvabhumivar Babasahebanchya kartutvache asamanyapan lakshat yete.,या पार्श्वभूमीवर बाबासाहेबांच्या कर्तृत्वाचे असामान्यपण लक्षात येते.
3183,Shankhala Shri Laxmi Devicha Bhau sambodhtat.,शंखाला श्री लक्ष्मी देवीचा भाऊ संबोधतात.
3184,"tyanni shakahar, aahar ani swasthya, dharma, samajik parivartan ityadi vishayanvarsudha vipul lekhan kele ahe.","त्यांनी शाकाहार, आहार आणि स्वास्थ्य, धर्म, सामाजिक परिवर्तन इत्यादी विषयांवरसुद्धा विपुल लेखन केले आहे."
3185,tyancha janma Punyajawalil Morgaon yethe zala.,त्यांचा जन्म पुण्याजवळील मोरगाव येथे झाला.
3186,"uthal, valuchi bete asleli khari sarovare va sabhovatali tekdya asha Bolson prakarche he valvanta asun Cactus va tasha prakarchya farach thodya Maruvasi vanaspati yethe adhaltat.","उथळ, वाळूची बेटे असलेली खारी सरोवरे व सभोवताली टेकड्या अशा बोल्सन प्रकारचे हे वाळवंट असून कॅक्टस व तशा प्रकारच्या फारच थोड्या मरुवासी वनस्पती येथे आढळतात."
3187,"vividh shasakiya tasech ashasakiya karyalayat, vishistha adhikari vyaktinvyatirikta itar vyaktinna mahiti dili jau naye yakarita niyamanusar sakti keli jate yacha parinaam 'vishista vishayapurte maun' asa hoto.","विविध शासकीय तसेच अशासकीय कार्यालयांत, विशिष्ट अधिकारी व्यक्तींव्यतिरिक्त इतर व्यक्तींना माहिती दिली जाऊ नये याकरीता नियमानुसार सक्ती केली जाते याचा परिणाम 'विशिष्ट विषयापुरते मौन' असा होतो."
3188,"Bloemfontein, Potchefstroom Bangladesh kasoti saamne. ESPN CricInfo. 15 November 2017 roji pahile. (Ingraji majkur)","ब्लूमफाँटेन, पोचेफस्ट्रुममध्ये बांगलादेश कसोटी सामने. इएसपीएन क्रिकइन्फो. १५ नोव्हेंबर २०१७ रोजी पाहिले. (इंग्रजी मजकूर)"
3189,"ghatakash, mathkash aslya shabdanni suchit honare maryadit akash yethe abhipret nahi.","घटाकाश, मठकाश असल्या शब्दांनी सूचित होणारे मर्यादित आकाश येथे अभिप्रेत नाही."
3190,hya tukdine French sainyakadun prashikshan va hatyare ghetli hoti.,ह्या तुकडीने फ्रेंच सैन्याकडून प्रशिक्षण व हत्यारे घेतली होती.
3191,"mhanje, ekun 18 akshauhini sainya kurukshetravar ladhai ladhle.","म्हणजे, एकूण १८ अक्षौहिणी सैन्य कुरुक्षेत्रावर लढाई लढले."
3192,Ameriketlya Chicagot aslele Thai upasak Thai padhatipramane ha navvarshacha utsav sajra kartat.,अमेरिकेतल्या शिकागोत असलेले थाई उपासक थाई पद्धतीप्रमाणे हा नववर्षाचा उत्सव साजरा करतात.
3193,Rajaram Maharaj yanchyashi daga fatka kela nahi.,राजाराम महाराज यांच्याशी दगा फटका केला नाही.
3194,suvarnatula,सुवर्णतुला
3195,sarovarakade janarya rastyachya suruvatilach ek motha Barmahi zara (kivva dhar)ahe.,सरोवराकडे जाणाऱ्या रस्त्याच्या सुरुवातीलाच एक मोठा बारमाही झरा (किंवा धार)आहे.
3196,Pakistanvirudhacha tyachi sarvoccha kasoti dhavsankhya 194; hi sudha tyachya ekandarit sarvoccha dhavsankhyepeksha (248) kami ahe.,पाकिस्तानविरुद्धचा त्याची सर्वोच्च कसोटी धावसंख्या १९४; ही सुद्धा त्याच्या एकंदरीत सर्वोच्च धावसंख्येपेक्षा (२४८) कमी आहे.
3197,Shankar Kurup he ya puraskarache pratham mankari tharle.,शंकर कुरूप हे या पुरस्काराचे प्रथम मानकरी ठरले.
3198,K E M Hospital and Research Centre he ek Punyatle june rugnalay ahe.,के ई एम हॉस्पिटल अ‍ॅन्ड रिसर्च सेंटर हे एक पुण्यातले जुने रुग्णालय आहे.
3199,khelat khup kheladu sahabhagi hou shaktat .,खेळात खूप खेळाडू सहभागी होऊ शकतात .
3200,"ti gramin bhagat gharatil kharkatya annanvar vadhu shakte va ya kombdyanna rog hot nahit, tyanna pardeshi kombdyanpramane lashi dyavya lagat nahit.","ती ग्रामीण भागात घरातील खरकट्या अन्नावर वाढू शकते व या कोंबड्यांना रोग होत नाहीत, त्यांना परदेशी कोंबड्यांप्रमाणे लशी द्याव्या लागत नाहीत."
3201,"tyanchya aaiche naav Mata Ramo (yanchi Manasa Devi, Daya Kaur ashi anya navehi sangitli jatat) hote.","त्यांच्या आईचे नाव माता रामो (यांची मनसा देवी, दया कौर अशी अन्य नावेही सांगितली जातात) होते."
3202,"Annie Besant hya mulchya Irish hotya, tikde Homerule chalval jorat chali hoti mag asha prakarchi chalval Bharatat ka hou naye ashi kalpana 1915 saali Dr.","अॅनी बेझंट ह्या मुळचा आयरिश होत्या, तिकडे होमरुल चळवळ जोरात चाली होती मग अशा प्रकारची चळवळ भारतात का होऊ नये अशी कल्पना १९१५ साली डॉ."
3203,ajvar jagbharat Pink Floyd chamuche 20 kotihun adhik album vikle gele ahet.,आजवर जगभरात पिंक फ्लॉइड चमूचे २० कोटीहून अधिक आल्बम विकले गेले आहेत.
3204,Chakvyachya tavdit sapadlyawar tyala pyayla paani magitlyas to mansala vihirit neun budavito asa samaj ahe.,चकव्याच्या तावडीत सापडल्यावर त्याला प्यायला पाणी मागितल्यास तो माणसाला विहिरीत नेऊन बुडवितो असा समज आहे.
3205,je vakya kivva vachan varanvaar mhannyat yete ti 'mhan'hoy.,जे वाक्य किवा वचन वारंवार म्हणण्यात येते ती 'म्हण'होय.
3206,Mukund Shriniwas Kanade,मुकुंद श्रीनिवास कानडे
3207,500 varshanchya natkachya itihasat ashi ekmatra ghatana ghadli.,५०० वर्षांच्या नाटकाच्या इतिहासात अशी एकमात्र घटना घडली.
3208,dushkalane horpalnarya Latur shaharala railwayne pani pohochlyawar lagech Pankaja Munde yanni tethe challelya kalvyachya kamajawal jaun swatahcha selfie kadhla.,दुष्काळाने होरपळणार्‍या लातूर शहराला रेल्वेने पाणी पोहोचल्यावर लगेच पंकजा मुंडे यांनी तेथे चाललेल्या कालव्याच्या कामाजवळ जाऊन स्वतःचा सेल्फी काढला.
3209,"Bushne Iran, Iraq va Uttar Korea hi dustatechya akshat (Axis of Evil) samil asleli rashtre aslyache jaahir kele.","बुशने इराण, इराक व उत्तर कोरिया ही दुष्टतेच्या अक्षात (ऍक्सिस ऑफ इव्हिल) सामील असलेली राष्ट्रे असल्याचे जाहीर केले."
3210,he Tukaramache shishya hote.,हे तुकारामाचे शिष्य होते.
3211,Solapurchya damani Patel pratishthancha karmayogi puraskar (February 2016),सोलापूरच्या दमाणी पटेल प्रतिष्ठानचा कर्मयोगी पुरस्कार (फेब्रुवारी २०१६)
3212,Bharatat Tharchya purvela Satluj nadi va Aravali parvatraang asun dakshinela Kutchche Rann ahe.,भारतात थरच्या पूर्वेला सतलज नदी व अरवली पर्वतरांग असून दक्षिणेला कच्छचे रण आहे.
3213,Frontier Airlinesne aplya tafyat fakta Airbuschi vimane rakhli ahet.,फ्रंटियर एअरलाइन्सने आपल्या ताफ्यात फक्त एअरबसची विमाने राखली आहेत.
3214,"bahupadichi vyakhya denyakarita ""ring"" lagte.","बहुपदीची व्याख्या देण्याकरिता ""रिंग"" लागते."
3215,Nehru Yuva Kendra,नेहरू युवा केंद्र
3216,Tirupati yethe jagatil sarvaat mothi saurchul ahe,तिरुपती येथे जगातील सर्वात्त मोठी सौरचूल आहे
3217,Mayboli Marathi,मायबोली मराठी
3218,Thodi Si Zameen Thoda Sa Aasmaan,थोड़ी सी ज़मीन थोड़ा सा आसमाँ
3219,Marathi Gazalanche Mushayre 2011 pasun karnari ek sanstha mhanje Suresh Bhat Gazalmanch.,मराठी गझलांचे मुशायरे २०११ पासून करणारी एक संस्था म्हणजे सुरेश भट गझलमंच.
3220,1906 madhil Marathi Sahityasammelanatlya aplya bhashanat Vishnu Govind Vijapurkar hyanni Marathit 'Viswakosh' nirman vhayla hava ashi apeksha vyakta keleli adhalte.,१९०६मधील मराठी साहित्यसंमेलनातल्या आपल्या भाषणात विष्णु गोविंद विजापूरकर ह्यांनी मराठीत 'विश्वकोश' निर्माण व्हायला हवा अशी अपेक्षा व्यक्त केलेली आढळते.
3221,"Subodh Prabhakar Jawdekar (I.S. 1948:Islampur, Maharashtra - ) he Marathi bhashet lihinare ek vidnyan katha lekhak ahet.","सुबोध प्रभाकर जावडेकर (इ.स. १९४८:इस्लामपूर, महाराष्ट्र - ) हे मराठी भाषेत लिहिणारे एक विज्ञान कथा लेखक आहेत."
3222,"Kuranachya sura Makki va Madini ashya don bhagat vibhaglya asun Mohammedchya Madinekadil prasthanaagodar avatirna zalelya suranna Makki, tar tyanantar avatarlelya suranna Madini ase mhantat.","कुराणाच्या सुरा मक्की व मदीनी अश्या दोन भागांत विभागल्या असून मोहम्मदाच्या मदिनेकडील प्रस्थानाअगोदर अवतीर्ण झालेल्या सूरांना मक्की, तर त्यानंतर अवतरलेल्या सूरांना मदीनी असे म्हणतात."
3223,"jagatil saglyat mothya akarachi engine, pratyeki saha chake asleli landing gears ani golakruti cross section hi ya vimanachi kahi vaishishtye ahet.","जगातील सगळ्यात मोठ्या आकाराची इंजिने, प्रत्येकी सहा चाके असलेली लँडिंग गियर्स आणि गोलाकृती क्रॉस सेक्शन ही या विमानाची काही वैशिष्ट्ये आहेत."
3224,uda. Hyo gada avandu padach hay.,उदा. ह्यो गादा आवंदू पडच हाय.
3225,anek varshe Premier Leaguemadhye khelnarya hya sanghache 2012 saalche pradarshan kharab hote jyamule pudhil hungamamadhye teesrya darjachya Leaguemadhye khelel.,अनेक वर्षे प्रीमियर लीगमध्ये खेळणाऱ्या ह्या संघाचे २०१२ सालचे प्रदर्शन खराब होते ज्यामुळे पुढील हंगामामध्ये तिसऱ्या दर्जाच्या लीगमध्ये खेळेल.
3226,eke divshi Edward mrut Sophiela stagevar awahan karto,एके दिवशी एडवर्ड मृत सोफीला स्टेजवर आवाहन करतो.
3227,ya katachya golya astat. Vidyaat sugandhakarta tya ghatlya jatat.,या काताच्या गोळ्या असतात. विड्यात सुगंधाकरता त्या घातल्या जातात.
3228,"Agadi lahan pramanata kukkutapalan, bakaripalan suddha te karatat.","अगदी लहान प्रमाणात कुक्कुटपालन,बकरीपालन सुध्दा ते करतात."
3229,antariksh bharari,अंतरिक्ष भरारी
3230,Mahableshwar Shail yanchya Kokni pustakanche anuvad,महाबळेश्‍वर शैल यांच्या कोकणी पुस्तकांचे अनुवाद
3231,ya vakyatil kriyapade pulingi ahet.,या वाक्यातील क्रियापदे पुलिंगी आहेत.
3232,vyavasayane vakil aslyane Mukne yanni Mamta Banerjee yanchyakade ya vishayache uttam sadrikaran kele tyamule ya veli matra Ad.,व्यवसायाने वकील असल्याने मुकणे यांनी ममता बॅनर्जी यांच्याकडे या विषयाचे उत्तम सादरीकरण केले त्यामुळे या वेळी मात्र ॲड.
3233,daru piun bedarkarpane gadi chalvun manavhatya kelyachya sarva aropantun Joshini Salman Khanla mukta kele.,दारू पिऊन बेदरकारपणे गाडी चालवून मानवहत्या केल्याच्या सर्व आरोपांतून जोशींनी सलमान खानला मुक्त केले.
3234,"[2] 1810 madhye, Francis Bucanon sitela bhet dili hoti, nash rachna Rama samarpit mandir, nahi ghar, ase sangitle.","[2] 1810 मध्ये, फ्रान्सिस बुकॅनन साइटला भेट दिली होती, नाश रचना रामा समर्पित मंदिर, नाही घर, असे सांगितले."
3235,kanache vikar,कानाचे विकार
3236,"tathapi, ajunahi ujjwal shilpakruti ani koriv kam aslelya ya rajwadyavaril bhag.","तथापि, अजूनही उज्ज्वल शिल्पाकृती आणि कोरीव काम असलेल्या या राजवाड्यावरील भाग."
3237,sanchar,संचार
3238,United Kingdomchi Europia sanghatun baher padnyachi ghatna Brexit mhanun olakhli jate.,युनायटेड किंग्डमची युरोपीय संघातून बाहेर पडण्याची घटना ब्रेक्झिट म्हणून ओळखली जाते.
3239,"Sanskrit madhe yala Mukulak, Raktamra tasech Lakshavruksha ase mhantat.","संस्कृत मध्ये याला मुकुलक, रक्ताम्र तसेच लाक्षावृक्ष असे म्हणतात."
3240,pahilya jagatik Mahayudhane ya prayatnas khil basli.,पहिल्या जागतिक महायुद्धाने या प्रयत्नांस खीळ बसली.
3241,"Kusumagrajancha janmadivas,27,February, ha Marathi Bhasha Gaurav Din mhanun sajra kela jato.","कुसुमाग्रजांचा जन्मदिवस,२७,फेब्रुवारी, हा मराठी भाषा गौरव दिन म्हणून साजरा केला जातो."
3242,"Babasaheb Ambedkaranche sahakari pracharya ""Yugyatra'kar Pra.","बाबासाहेब आंबेडकरांचे सहकारी प्राचार्य ""युगयात्रा'कार प्रा."
3243,udya kay zala?,उद्या काय झालं?
3244,Shyam Benegal hyanche digdarshan aslelya hya chitrapatamadhye Shreyas Talpade va Amruta Rao hyanchya pramukh bhumika ahet.,श्याम बेनेगल ह्यांचे दिग्दर्शन असलेल्या ह्या चित्रपटामध्ये श्रेयस तळपदे व अमृता राव ह्यांच्या प्रमुख भूमिका आहेत.
3245,kalam 351 : yaat kendra sarkar ne karavayache kartavya ani jababdari yacha ullekh ahe jyat Hindi bhasha prachar ani prasar tasech Hindi vikas yacha nirdesh dile ahet,कलम 351 : यात केंद्र सरकार ने करावयाचे कर्तव्य आणि जबाबदारी याचा उल्लेख आहे ज्यात हिंदी भाषा प्रचार आणि प्रसार तसेच हिंदी विकास याचा निर्देश दिले आहेत
3246,Tukaramachi Abhangagatha (Sindhi bhashantar),तुकारामाची अभंगगाथा (सिंधी भाषांतर)
3247,jyanni Athensmadhye 2004 chya unhali Olympic spardhet Bharatache pratinidhitva kele.,ज्यांनी अथेन्समध्ये २००४ च्या उन्हाळी ऑलिंपिक स्पर्धेत भारताचे प्रतिनिधित्व केले.
3248,ya vishayachya anushangane thodyaphar pramanat visthapitanche jeevan kuthe kuthe alele disun yete.,या विषयाच्या अनुषंगाने थोड्याफार प्रमाणात विस्थापितांचे जीवन कुठे कुठे आलेले दिसून येते.
3249,yatil Raje swatahla Raja Solomen ani Rani Shebache thet vansaj manat.,यातील राजे स्वतःला राजा सोलोमन आणि राणी शेबाचे थेट वंशज मानत.
3250,kolu,कोळू
3251,Mahalakshmi,महालक्ष्मी
3252,"ya bhandyat pani, tel kivva mithache dravan bharlele aste.","या भांड्यात पाणी, तेल किंवा मिठाचे द्रावण भरलेले असते."
3253,he sare zille hya ath rajyatil ahet.,हे सारे जिल्हे हय़ा आठ राज्यातील आहेत.
3254,cha vidyaman adhyaksh tar Bilaval Bhutto Zardari ha Chairman ahe.,चा विद्यमान अध्यक्ष तर बिलावल भुट्टो झरदारी हा चेअरमन आहे.
3255,Panditraj Jagannath,पंडितराज जगन्नाथ
3256,rakhadi rangachi hi khapre bhajlelya tambat matipasun banavleli ahet.,राखाडी रंगाची ही खापरे भाजलेल्या तांबट मातीपासून बनवलेली आहेत.
3257,Sanyukta Rashtratahi Zarif yanni Irani pratinidhi mandalache netrutva kele.,संयुक्त राष्ट्रातही झरीफ यांनी इराणी प्रतिनिधी मंडळाचे नेतृत्व केले.
3258,Udayanla namoharam karnyache chandpradyotache sagle prayatna ayashasvi zale.,उदयनला नामोहरम करण्याचे चंडप्रद्योताचे सगळे प्रयत्न अयशस्वी झाले.
3259,ti nirvishikaran na kartach bandarat anli jaat hoti.,ती निर्विषीकरण न करताच बंदरात आणली जात होती.
3260,sajjakothi- Rajwadyavarun pudhe gelyawar hi kothivaja imarat diste.,सज्जाकोठी- राजवाड्यावरून पुढे गेल्यावर ही कोठीवजा इमारत दिसते.
3261,Dronacharyancha vadh karnyasathi Drupadne yagnyatun ya bhava-bahinichi nirmiti kelyache sangitle jate.,द्रोणाचार्यांचा वध करण्यासाठी द्रुपदाने यज्ञातून या भावा-बहीणीची निर्मिती केल्याचे सांगितले जाते.
