,English,Marathi
2854,pudhe dharwad yethe agricultural mahavidyalayat te purnavel pradhyapak mhanun nokris lagle.,पुढे धारवाड येथे ॲग्रिकल्चरल महाविद्यालयात ते पूर्णवेळ प्राध्यापक म्हणून नोकरीस लागले.
2855,congochya katanga prantatil ladhaimadhye nirbhaytene va nishpakshapatipane kam kelyabaddal companychya eka adhikaryala veerchakra he sainiki padak denyat ale.,काँगोच्या कटांगा प्रांतातील लढाईमध्ये निर्भयतेने व निःपक्षपातीपणे काम केल्याबद्दल कंपनीच्या एका अधिकाऱ्याला वीरचक्र हे सैनिकी पदक देण्यात आले.
2856,tasech itar bankatil kahi khatedar ya bankemadhil lokanna paise pathavu shaktat.,तसेच इतर बँकातील काही खातेदार या बँकेमधील लोकांना पैसे पाठवू शकतात.
2857,upo,युपो
2858,te aplya ajubajulach astat pan apan tyanchyakade farse laksha det nahi.,ते आपल्या आजूबाजूलाच असतात पण आपण त्यांच्याकडे फारसे लक्ष देत नाही.
2859,ya vasahatiche utkhanan dr.,या वसाहतीचे उत्खनन डॉ.
2860,malechya madhyabhagi bahudha sonyache char gol mani va sonyachya don lahan vatya basvilelya astat.,माळेच्या मध्यभागी बहुधा सोन्याचे चार गोल मणी व सोन्याच्या दोन लहान वाट्या बसविलेल्या असतात.
2861,yethil sansthanik nawab hi padvi lavat asat.,येथील संस्थानिक नवाब ही पदवी लावत असत.
2862,polisanna ya goshtichi khabar lagtach sagar dubaila palun gela.,पोलिसांना या गोष्टीची खबर लागताच सागर दुबईला पळून गेला.
2863,"1772 - ekhadya gulamane englandmadhye pravesh kela, tar tyala swatantra nagrik samajnyat yeu larle.","१७७२ - एखाद्या गुलामाने इंग्लंडमध्ये प्रवेश केला, तर त्याला स्वतंत्र नागरिक समजण्यात येऊ लागले."
2864,arthat dirghayushya deun mansala mhatarpanaparyanta jeevanta rakhnarya devta!,अर्थात दीर्घायुष्य देऊन माणसाला म्हातारपणापर्यंत जिवंत राखणाऱ्या देवता!
2865,"vij prakalpa, june kavsan nathsagar dharan","वीज प्रकल्प, जुने कावसान नाथसागर धरण"
2866,banabhattane bhasachya natkanchi mandirashi tulana karun tyanchi vaishistye namud keli ahet.,बाणभट्टाने भासाच्या नाटकांची मंदिरांशी तुलना करून त्यांची वैशिष्ट्ये नमूद केली आहेत.
2867,i.s. 2006 madhye amerikechya rashtriya vidnyan academyche te pardeshi sadasya mhanun nivadle gele.,इ.स. २००६ मध्ये अमेरिकेच्या राष्ट्रीय विज्ञान अकादमीचे ते परदेशी सदस्य म्हणून निवडले गेले.
2868,ya kalat josephne hushar vidyarthi mhanun nav kamavile.,या काळात जोसेफने हुशार विद्यार्थी म्हणून नाव कमाविले.
2869,aai-vadil nehmi english ani yiddish bhashet bolat aslyane isaac yanna russian bhasha yet navhati.,आई-वडील नेहमी इंग्लिश आणि यिडीश भाषेत बोलत असल्याने आयझॅक यांना रशियन भाषा येत नव्हती.
2870,madhya yugin kalat polish-lithuanian rashtrakulachya tar i.,मध्य युगीन काळात पोलिश-लिथुएनियन राष्ट्रकुलाच्या तर इ.
2871,dnyandevancha gitasanwad','ज्ञानदेवांचा गीतासंवाद'
2872,punyajawalach nashik rastyawar bhandaryacha dongar ahe.,पुण्याजवळच नाशिक रस्त्यावर भंडार्‍याचा डोंगर आहे.
2873,ya godit darvarshi su.,या गोदीत दरवर्षी सु.
2874,joshinna sataryala anle va pahilit ghatle.,जोशींना सातार्‍याला आणले व पहिलीत घातले.
2875,"ekatmata stotramadhe bharatmateche varnan aale asun tyamadhye ase 'himalay ha jicha mukut ahe, ratnanchi khan aslela samudra jiche pay dhut ahe, rishi ani muni yanchya tapane pawan zalelya bharatmatela vandan aso' ase mhantle ahe.","एकात्मता स्तोत्रामधे भारतमातेचे वर्णन आले असून त्यामध्ये असे 'हिमालय हा जिचा मुकुट आहे, रत्नांची खाण असलेला समुद्र जिचे पाय धूत आहे, ऋषी आणि मुनी यांच्या तपाने पावन झालेल्या भारतमातेला वंदन असो' असे म्हटले आहे."
2876,tyacha uddesh mhanje santatidayi ambyache smaran ani krutadnyata vyakta karne.,त्याचा उद्देश म्हणजे संततिदायी आंब्याचे स्मरण आणि कृतज्ञता व्यक्त करणे.
2877,"hindu jeevandrushtimadhe bhumila mata manle gele ahe ani tyamulech bharat deshala ""bharatmata"" sambodhnyachi parampara bharatiya sanskrutit sweekarli geli ahe.","हिंदू जीवनदृष्टीमधे भूमीला माता मानले गेले आहे आणि त्यामुळेच भारत देशाला ""भारतमाता"" संबोधण्याची परंपरा भारतीय संस्कृतीत स्वीकारली गेली आहे."
2878,shivratrila ya mandirat bhavikanchi khup gardi hote.,शिवरात्रीला या मंदिरात भाविकांची खूप गर्दी होते.
2879,yachya biyanwar aslele kes he manavi tvachechya samparkat alyas khajkuyalisarkhya vedna detat.,याच्या बियांवर असलेले केस हे मानवी त्वचेच्या संपर्कात आल्यास खाजकुयलीसारख्या वेदना देतात.
2880,"abhyasak, vishleshak, krantikarak he bharatmatela vandan kartat ani bharatatil sarva rajye hi janu kahi tichi apatye ahet asehi nondavtana distat.","अभ्यासक, विश्लेषक, क्रांतिकारक हे भारतमातेला वंदन करतात आणि भारतातील सर्व राज्ये ही जणू काही तिची अपत्ये आहेत असेही नोंदवताना दिसतात."
2881,"parantu ingraji amlat ingrajanni hindustanat apli bajarpeth banavilyane yantrayugatil tyanchya karkhanyatil subak vastu, kapad, hattyare va avajare yethe aali.","परंतु इंग्रजी अमलात इंग्रजांनी हिंदुस्थानात आपली बाजारपेठ बनविल्याने यंत्रयुगातील त्यांच्या कारखान्यातील सुबक वस्तू, कापड, हत्त्यारे व अवजारे येथे आली."
2882,tasech ha sangha japanchya 59 thikani deshantargat viman seva deto.,तसेच हा संघ जपानच्या ५९ ठिकाणी देशान्तर्गत विमान सेवा देतो.
2883,madalsa,मदालसा
2884,"ashti taluka, wardha ha bharatachya maharashtra rajyatil wardha zillyacha ek taluka ahe.","आष्टी तालुका, वर्धा हा भारताच्या महाराष्ट्र राज्यातील वर्धा जिल्ह्याचा एक तालुका आहे."
2885,chinto vittal : sawai madhavrao peshwyanvirudha jaun raghobadadala milalela ek fitur.,चिंतो विठ्ठल : सवाई माधवराव पेशव्यांविरुद्ध जाऊन राघोबादादाला मिळालेला एक फितूर.
2886,business worldchya march 2014chya c-sweed women madhye tyancha ullekh ahe.,बिझनेस वर्ल्डच्या मार्च २०१४च्या सी-स्वीड विमेन मध्ये त्यांचा उल्लेख आहे.
2887,yere yere pavsa (balvidnyan),येरे येरे पावसा (बालविज्ञान)
2888,sandha dukhne ani halchalit badha yene yala apan sandhivaat mhanto.,सांधा दुखणे आणि हालचालीत बाधा येणे याला आपण संधिवात म्हणतो.
2889,zee studio,झी स्टूडियो
2890,adnyavali bhashancha itihaas,आज्ञावली भाषांचा इतिहास
2891,jar ha visham asel tar ani jar ha sum asel tar,जर हा विषम असेल तरआणि जर हा सम असेल तर
2892,"parabrahma parmeshwar hya akarat ahe, 'hya murtit ahe' hya bhavanela mahatva ahe.","परब्रह्म परमेश्वर ह्या आकारात आहे, 'ह्या मूर्तीत आहे' ह्या भावनेला महत्त्व आहे."
2893,yache vadil william harvard bret he namankit librarian hote.,याचे वडील विल्यम हॉवर्ड ब्रेट हे नामांकित लायब्रेरियन होते.
2894,"1970 - ameriketil kent, ohio yethil kent state universitit vietnam yudhavirudha nidarshane karnarya vidyarthyanvar polisancha golibar.","१९७० - अमेरिकेतील केंट, ओहायो येथील केंट स्टेट युनिव्हर्सिटीत व्हियेतनाम युद्धाविरुद्ध निदर्शने करणार्‍या विद्यार्थ्यांवर पोलिसांचा गोळीबार."
2895,gaya railway sthanak howda-mumbai va delhi-gaya-howda railwaymargawar sthit asun yethe darroj rajdhani expresssaha sumare 100 gadya thambtat.,गया रेल्वे स्थानक हावडा-मुंबई व दिल्ली-गया-हावडा रेल्वेमार्गावर स्थित असून येथे दररोज राजधानी एक्सप्रेससह सुमारे १०० गाड्या थांबतात.
2896,akhil bharatiya dalit sahitya mahamadal,अखिल भारतीय दलित साहित्य महामंडळ
2897,baagon mein bahar hai,बागों में बहार है
2898,pan 'child of the holocaust' he atmacharitra nahi.,पण ‘चाईल्ड ऑफ द होलोकॉस्ट’ हे आत्मचरित्र नाही.
2899,"shivajirao patwardhan, dr.","शिवाजीराव पटवर्धन, डॉ."
2900,sant eknath maharajanche samadhisthan,संत एकनाथ महाराजांचे समाधिस्थान
2901,"tyanni shivaji vidyapithatil vrutta vidya vibhagat don varshe, ani nashikchya h.","त्यांनी शिवाजी विद्यापीठातील वृत्त विद्या विभागात दोन वर्षे, आणि नाशिकच्या एच."
2902,to tasach hota.,तो तसाच होता.
2903,ya nantar sofie va edwardchya nitya bheti hot rahatat.,या नंतर सोफी व एडवर्डच्या नित्य भेटी होत रहातात.
2904,shrivatsya,श्रीवत्स
2905,gudhgyaparyanta pohochnare haat,गुढग्यापर्यंत पोहोचणारे हात
2906,aplya utpadanachi pramukh vaishishtye vicharat ghyavi lagtat.,आपल्या उत्पादनाची प्रमुख वैशिष्ट्ये विचारत घ्यावी लागतात.
2907,"marathi bhashetil anek lahansahan goshti,humkhas lihitana,boltana honarya chukanche margadarshan,shabda utpatti,marathi shalansathi ajun kay karta yeil yavar charcha,mahitichi devanghevan.","मराठी भाषेतील अनेक लहानसहान गोष्टी,हमखास लिहिताना,बोलताना होणाऱ्या चुकांचे मार्गदर्शन,शब्द उत्पत्ती,मराठी शाळांसाठी अजून काय करता येईल यावर चर्चा,माहितीची देवाणघेवाण."
2908,samudrakinaryavaril pulan ani katal aslela bhag tasech khadiwar distat.,समुद्रकिनाऱ्यावरील पुळण आणि कातळ असलेला भाग तसेच खाडीवर दिसतात.
2909,ya vatene apan dindi darvajyat yeto.,या वाटेने आपण दिंडी दरवाजात येतो.
2910,kasturimrug,कस्तुरीमृग
2911,pudhil anek prayogat yachi lokpriyata ajun vadhte.,पुढील अनेक प्रयोगात याची लोकप्रियता अजून वाढते.
2912,"ek keval mahilansathi- 'ahe tujpashich' , dusra keval yuvak - yuvatinsathi-'he divas phulayche' ani teesra keval jeshtha nagrikansathi- 'tumhi amhala have ahat.'","एक केवळ महिलांसाठी- ‘आहे तुजपाशीच’, दुसरा केवळ युवक – युवतींसाठी- ‘हे दिवस फुलायचे’ आणि तिसरा केवळ जेष्ठ नागरिकांसाठी- ‘तुम्ही आम्हाला हवे आहात.’"
2913,"tocharian samrajyache kujula kadphises kadun ekatrikaran houn , kushan samrajya banle.","टोचारियन साम्राज्याचे कुजुला काडफिसेस कडून एकत्रीकरण होऊन , कुशान साम्राज्य बनले."
2914,te pahun dari ujvi kade thevat pudhe gelyawar khali utarnyasathi payrya ahet,ते पाहून दरी उजवी कडे ठेवत पुढे गेल्यावर खाली उतरण्यासाठी पायर्‍या आहेत.
2915,"anek vartamanpatranmadhye he vidnyanvishayak likhan kartat antaral, aple purvaj, khagol.","अनेक वर्तमानपत्रांमध्ये हे विज्ञानविषयक लिखाण करतात अंतराळ, आपले पूर्वज, खगोल."
2916,"constantine satva, byzantine samrat.","कॉन्स्टन्टाईन सातवा, बायझेन्टाईन सम्राट."
2917,sagar (kathasangraha),सागर (कथासंग्रह)
2918,(bhashik sankhyenusar jagbhaat pachvi).,(भाषिक संख्येनुसार जगभरात पाचवी).
2919,kamble 1977pasun dalit panthermadhun samajik karyas suruwat keli.,कांबळे १९७७पासून दलित पँथरमधून सामाजिक कार्यास सुरूवात केली.
2920,"sarvaat jawalche bus station himachal parivahanchya akhatyaritle ""shimla"" bus station ahe.","सर्वात जवळचे बस स्टेशन हिमाचल परिवहनच्या अखत्यारीतले ""शिमला"" बस स्टेशन आहे."
2921,mumbaijawalchya mira road yethe khote call centre chalvun sagarchi banavat company american lokanchi arthik fasavnuk karat hoti.,मुंबईजवळच्या मीरा रोड येथे खोटे कॉल सेंटर चालवून सागरची बनावट कंपनी अमेरिकन लोकांची आर्थिक फसवणूक करत होती.
2922,"adhik vegane, zadanchya fandyanmadhun, lakshyachya pathlag kartana tyanna chote pankh upyogi padtat.","अधिक वेगाने, झाडांच्या फांद्यांमधून, लक्ष्याचा पाठलाग करताना त्यांना छोटे पंख उपयोगी पडतात."
2923,antarctic service; chi shastriya pahni va sanshodhan suru zale.,अंटार्क्टिक सर्व्हिस’ ची शास्त्रीय पाहणी व संशोधन सुरू झाले.
2924,kadhikadhi talatil kaushalya dakhavnyasathi panchjati alarippu kartat.,कधीकधी तालातील कौशल्य दाखवण्यासाठी पंचजाती अलारिपु करतात.
2925,kaiserslautern ha sangha yethech sthit ahe.,काइझरस्लाउटर्न हा संघ येथेच स्थित आहे.
2926,"asa samaj ahe ki, agastya yanni yethe barich varshe tup kele.","असा समज आहे कि, अगस्त्य यांनी येथे बरीच वर्षे तप केले."
2927,andhra pradeshpasun telangana vegla karnyat alyanantar andhrachi rajdhani hyderabadhun eka navya shaharamadhye halavli jael.,आंध्र प्रदेशपासून तेलंगणा वेगळा करण्यात आल्यानंतर आंध्रची राजधानी हैदराबादहून एका नव्या शहरामध्ये हलवली जाईल.
2928,mansik : akarmak-pratyaksha : samorchya vyaktishi bolnyache talne,मानसिक ः अकर्मक-प्रत्यक्ष ः समोरच्या व्यक्तीशी बोलण्याचे टाळणे
2929,adar vyakta karnyacha ha ek sanket hoy.,आदर व्यक्त करण्याचा हा एक संकेत होय.
2930,parantu englandla boatine jat asta 1900chya october mahinyat port said yethil rugnalayat tyancha mrutyu zala.,परंतु इंग्लंडला बोटीने जात असता १९००च्या ऑक्टोबर महिन्यात पोर्ट सैद येथील रुग्णालयात त्यांचा मृत्यू झाला.
2931,apabransh (kavitasangraha kivva kadambari),अपभ्रंश (कवितासंग्रह किंवा कादंबरी)
2932,sangeet saubhadram (sanskrit),संगीत सौभद्रम् (संस्कृत)
2933,solapur yethil bhairu ratan damani puraskar,सोलापूर येथील भैरू रतन दमाणी पुरस्कार
2934,20 athavde purna hotana mates garbhachi halchal janavu lagte.,२० आठवडे पूर्ण होताना मातेस गर्भाची हालचाल जाणवू लागते.
2935,madrid,माद्रिद
2936,"samor wayne daniel, winston davis, holding ani marshal.","समोर वेन ड्यानिअल, विन्स्टन डेविस, होल्डिंग आणि मार्शल."
2937,tya varshi 8 august roji mumbaichya gowalia tank maidanavar bharlelya sabhet aruna asaf alinni congresscha zenda fadkavla hota.,त्या वर्षी ८ ऑगस्ट रोजी मुंबईच्या गोवालिया टँक मैदानावर भरलेल्या सभेत अरुणा असफ अलींनी काँग्रेसचा झेंडा फडकवला होता.
2938,mukhya granthalay ani tyachbarobar sarkar wada shakha asha donhi thikani milun sumare teen hazar vachak darroj ya vibhagancha vinamulya labh ghetat ase diste.,मुख्य ग्रंथालय आणि त्याचबरोबर सरकार वाडा शाखा अशा दोन्ही ठिकाणी मिळून सुमारे तीन हजार वाचक दररोज या विभागांचा विनामूल्य लाभ घेतात असे दिसते.
2939,ya 22 pratignya manavata va bauddha dharmat mahatvachya ahet.,या २२ प्रतिज्ञा मानवता व बौद्ध धर्मात महत्त्वाच्या आहेत.
2940,he shahar mahasamund zillyache prashaskiya kendra ahe.,हे शहर महासमुंद जिल्ह्याचे प्रशासकीय केंद्र आहे.
2941,tyanni prabodhan prakashanadware 'ajche prabodhan' navache saptahik suru kela hote.,त्यांनी प्रबोधन प्रकाशनाद्वारे 'आजचे प्रबोधन' नावाचे साप्ताहिक सुरू केल होते.
2942,tyasathi tya-tya kshetratil manyavaranna bolavun tyanchyashi gappa martat.,त्यासाठी त्या-त्या क्षेत्रातील मान्यवरांना बोलावून त्यांच्याशी गप्पा मारतात.
2943,"bal kudtarkar, neelam prabhu yanni anek nabhonatye sadar keleli ahet.","बाळ कुडतरकर, नीलम प्रभू यांनी अनेक नभोनाट्ये सादर केलेली आहेत."
2944,he upayach jar vikal astil tar rasachi pratiti yeu shakat nahi.,हे उपायच जर विकल असतील तर रसाची प्रतीती येऊ शकत नाही.
2945,raktacha rang.,रक्ताचा रंग.
2946,kavdya,कवड्या
2947,miyya ajun parosha tondanuch hay.,मिय्या अजुन पारोशा तोंडानुच हाय.
2948,nadikathchi chakki,नदीकाठची चक्की
2949,australian marathi vidyalay hi australiatil pahili marathi shala ahe.,ऑस्ट्रेलियन मराठी विद्यालय ही ऑस्ट्रेलियातील् पहिली मराठी शाळा आहे.
2950,mausam nadivar satana talukyat haranbari navache dharan ahe.,मोसम नदीवर सटाणा तालुक्यात हरणबारी नावाचे धरण आहे.
2951,tethe baglyala matra bandhanat thevle jat nahi.,तेथे बगळ्याला मात्र बंधनात ठेवले जात नाही.
2952,"saatvahan rajanchya mahalachya khanakhuna, koriv khamb vagayre asnarya ya prasadachya avarat ek vihir ahe.","सातवाहन राजांच्या महालाच्या खाणखुणा, कोरीव खांब वगैरे असणाऱ्या या प्रासादाच्या आवारात एक विहीर आहे."
2953,sthan ani prayatna he bal.,स्थान आणि प्रयत्न हे बल.
2954,lagnat vighna,लग्नात विघ्न
2955,matra bhanumati kansa yanna kshayachi badha zali ani tyanche 1961madhye dusrya balantpanat nidhan zale.,मात्र भानुमती कंस यांना क्षयाची बाधा झाली आणि त्यांचे १९६१मध्ये दुसऱ्या बाळंतपणात निधन झाले.
2956,ha shetipurak vyavasay ahe tasech yasathi mothe karkhanehi astat.,हा शेतीपूरक व्यवसाय आहे तसेच यासाठी मोठे कारखानेही असतात.
2957,tyanantar pu.,त्यानंतर पु.
2958,"yethe maharashtracha rajyapakshi hariyal, haldya, neelpankhi, swargiya nartak, navrangi, tasech turewala sarpagarud, matsyagarud, white eyed buzzard sarkhe shikari pakshi ani anek prakarchi phulpakhre tasech thikthikani nirniralya prakarche koli disun yetat.","येथे महाराष्ट्राचा राज्यपक्षी हरियाल, हळद्या, नीलपंखी, स्वर्गीय नर्तक, नवरंगी, तसेच तुरेवाला सर्पगरुड, मत्स्यगरुड, व्हाईट आईड बझार्ड सारखे शिकारी पक्षी अणि अनेक प्रकारची फुलपाखरे तसेच ठिकठिकाणी निरनिराळ्या प्रकारचे कोळी दिसून येतात."
2959,bazar phulancha bharla,बाजार फुलांचा भरला
2960,"yethe vividh prakarche jevan banvinyache upahaar gruha ahe tyat piano, malgudi (south indian uphaar gruha) curry town, bay-146, bamboo bar, brave-room ani bakers basket navache cake shop yancha samavesh ahe.","येथे विविध प्रकारचे जेवण बनविण्याचे उपहार ग्रह आहे त्यात पियानो, मालगुडी (साऊथ इंडियन उपहार ग्रह) करी टाउन, बे-146, बांबू बार, ब्रेव-रूम आणि बेकर्स बास्केट नावाचे केक शॉप यांचा समावेश आहे."
2961,"vishesh: yethe 48 samadhi, shriganeshachya janma kathenusar shankarakadun shirachedapurvichya shriganeshachi vilakshan sunder murti.","विशेष: येथे ४८ समाधी, श्रीगणेशाच्या जन्म कथेनुसार शंकराकडून शिरच्छेदापूर्वीच्या श्रीगणेशाची विलक्षण सुंदर मूर्ती."
2962,ravlya-javlya ha bharatachya maharashtra rajyatil jodkille ahet.,रवळ्या-जवळ्या हा भारताच्या महाराष्ट्र राज्यातील जोडकिल्ले आहेत.
2963,arun gadre vruttapatrantun vaicharik va anya lekhanahi kartat.,अरुण गद्रे वृत्तपत्रांतून वैचारिक व अन्य लेखनही करतात.
2964,joshi sevanivrutta hotil.,जोशी सेवानिवृत्त होतील.
2965,tata aia life insurance hi bharatatil ayurvima vyavasayatil khajgi company ahe.,'टाटा एआयए लाइफ इन्शुअरन्स ही भारतातील आयुर्विमा व्यवसायातील खाजगी कंपनी आहे.
2966,samajwadi karykartyanmadhil s.,समाजवादी कार्यकर्त्यांमधील एस.
2967,yane sharirat utsah rahto.,याने शरीरात उत्साह राहतो.
2968,"dahashatichya chayet - diary eka kashmiri anamikachi (anuvadit, mul lekhak - tej n. dhar)","दहशतीच्या छायेत - डायरी एका काश्मिरी अनामिकाची (अनुवादित, मूळ लेखक - तेज एन. धर)"
2969,savakarachi katekor ashi vyakhya nahi.,सावकाराची काटेकोर अशी व्याख्या नाही.
2970,"yachya roptyanvar tudtudyancha pradurbhav zalyas,te ya pikavaril rus shoshun ghetat.","याच्या रोपट्यांवर तुडतुड्यांचा प्रादुर्भाव झाल्यास,ते या पिकावरील रस शोषून घेतात."
2971,dr. jayantrao patil,डॉ. जयंतराव पाटील
2972,tyatil sarvat mahatvacha marga ha indus valley marga mhanun olakhla jato.,त्यातील सर्वात महत्वाचा मार्ग हा इंडस व्हॅली मार्ग म्हणून ओळखला जातो.
2973,paryavaran shikshan (pra. neela pathre),पर्यावरण शिक्षण (प्रा. नीला पाथरे)
2974,swatantryasainik babasaheb savanekar,स्वातंत्र्यसैनिक बाबासाहेब सवनेकर
2975,bharatatil anya sansthanmadhyehi arun bapat yanni adhikarachya jaganvar kam kele ahe.,भारतातील अन्य संस्थांमध्येही अरुण बापट यांनी अधिकाराच्या जागांवर काम केले आहे.
2976,sanghala goon milavnyasathi chendu jalit takava lagto.,संघाला गुण मिळवण्यासाठी चेंडू जाळीत टाकावा लागतो.
2977,"ya chitrapatatil geete narayan hari apte yanni lihili hoti, tar tyanna keshavrao bholyanni chali bandhlya hotya.","या चित्रपटातील गीते नारायण हरी आपटे यांनी लिहिली होती, तर त्यांना केशवराव भोळ्यांनी चाली बांधल्या होत्या."
2978,sina: zillyachya va ashti talukyachyahi nairutya seemevarun sina nadi vahte.,सीना: जिल्ह्याच्या व आष्टी तालुक्याच्याही नैर्ऋत्य सीमेवरून सीना नदी वाहते.
2979,1927chya pune sahitya sammelanat shripad krishna kolhatkaranni bhumika ashi ghetli ki kontihi bhasha anya bhashasamparkapasun alipta rahu shakat nahi.,१९२७च्या पुणे साहित्य संमेलनात श्रीपाद कृष्ण कोल्हटकरांनी भूमिका अशी घेतली की कोणतीही भाषा अन्य भाषासंपर्कापासून अलिप्त राहू शकत नाही.
2980,guru maharaj,गुरु महाराज
2981,tyanni shabda vyutpattiche niyam denarya nirukta ya vedangachi rachana keli.,त्यांनी शब्द व्यूत्पत्तीचे नियम देणाऱ्या निरुक्त या वेदांगाची रचना केली.
2982,"maharashtratlya gharagharat padwalachi bhaji-kadhi, biyanchi chutney vagayre padartha bantat,","महाराष्ट्रातल्या घरांघरांत पडवळाची भाजी-कढी, बियांची चटणी वगैरे पदार्थ बनतात,"
2983,"berlin, germany","बर्लिन, जर्मनी"
2984,patangachi dori mhanjech 'manja'kachecha (vastragal) bhuga ani shijavlelya bhatat gholavla jato.,पतंगाची दोरी म्हणजेच 'मांजा'काचेचा (वस्त्रगाळ) भुगा आणि शिजवलेल्या भातात घोळवला जातो.
2985,ha shimazu takahisacha saglyat motha mulga hota.,हा शिमाझु ताकाहिसाचा सगळ्यात मोठा मुलगा होता.
2986,west indieschya leeward islands ya dweepshrunkhalemadhil ya betache sthanik nav valadli kivva vadadli (aple swatahche) ase ahe.,वेस्ट इंडीझच्या लीवार्ड आयलंड्स या द्वीपशृंखलेमधील या बेटाचे स्थानिक नाव वलाद्ली किंवा वदाद्ली (आपले स्वतःचे) असे आहे.
2987,tyasathi varanasi yethe multimodel terminal tayaar karnyat ale ahe.,त्यासाठी वाराणसी येथे मल्टिमोडल टर्मिनल तयार करण्यात आले आहे.
2989,awaj,आवाज
2990,sammelanadhyaksha dr.,संमेलनाध्यक्ष डॉ.
2991,pratyaksha rajkarnat bhag ghyayla tyanna bandi hoti.,प्रत्यक्ष राजकारणात भाग घ्यायला त्यांना बंदी होती.
2992,jitke lekhnimadhye tarbez titkech talwarbajit.,जितके लेखणीमध्ये तरबेज तितकेच तलवारबाजीत.
2993,tyanni fusion sangeetat pakhavajas sthan milvun dile ahe.,त्यांनी फ्यूजन संगीतात पखवाजास स्थान मिळवून दिले आहे.
2994,anand va buddha yanchi yavishayi charcha zali va tyani bhikkhu sanghat streeyanchya praveshala anumati dili.,आनंद व बुद्ध यांची याविषयी चर्चा झाली व त्यांनी भिक्खू संघात स्त्रियांच्या प्रवेशाला अनुमती दिली.
2995,"ap-door , virudha","अप- दूर ,विरुद्ध"
2996,"supe, karjat taluka, ahmednagar zilla","सुपे, कर्जत तालुका, अहमदनगर जिल्हा"
2998,"deenanath mangeshkar, dhanajirao-marathe, pilya-parshuram samant, prataprao-chintamanrao kolhatkar, yesaji-prushottam borkar, randhirrao-damuanna malvankar, rambhajirao-krishnarao mirajkar, ranojirao-dinkar dhere, vagayre.","दीनानाथ मंगेशकर, धनाजीराव-मराठे, पिल्या-परशुराम सामंत, प्रतापराव-चिंतामणराव कोल्हटकर, येसाजी-पुरुषॊत्तम बोरकर, रणधीरराव-दामुअण्णा मालवणकर, रंभाजीराव-कृष्णराव मिरजकर, राणोजीराव-दिनकर ढेरे, वगैरे."
2999,"saali vidarbha sahityasanghatarphe ghenyat yenarya vidarbha sahityasammelanache, ani, chandrapur yethe ….","साली विदर्भ साहित्यसंघातर्फे घेण्यात येणाऱ्या विदर्भ साहित्यसंमेलनाचे, आणि, चंद्रपूर येथे ....."
3000,dr. anna shultz ya janmane american asun marathi-ingrajit kirtan karnarya stree-kirtankar ahet.,डॉ. ॲना शूल्ट्झ या जन्माने अमेरिकन असून मराठी-इंग्रजीत कीर्तन करणार्‍या स्त्री-कीर्तनकार आहेत.
3001,asahishnuta,असहिष्णुता
3002,eurofighter typhoon german hawaidalakade (bhasha:german),युरोफायटर टायफून जर्मन हवाईदलाकडे (भाषा:जर्मन)
3003,mulundchya maharashtra seva sanghane 'ek kalakar ek sandhyakal' ya karyakramat 14 august 2015 roji jayant savarkar yanna dr.,मुलुंडच्या महाराष्ट्र सेवा संघाने ‘एक कलाकार एक संध्याकाळ’ या कार्यक्रमात १४ ऑगस्ट २०१५ रोजी जयंत सावरकर यांना डॉ.
3004,kanik sakhar ghatlelya dudhat bhijvun tiche devikarita chote chote dagine kartat.,कणीक साखर घातलेल्या दुधात भिजवून तिचे देवीकरिता छोटे छोटे दागिने करतात.
3005,pakshatil ani itarahi kahi netyanni gandhijinvar tika keli.,पक्षातील आणि इतरही काही नेत्यांनी गांधीजींवर टीका केली.
3006,vistrut tarangalambi nirikshanachya madatine akashgangecha abhyas,विस्तृत तरंगलांबी निरीक्षणांच्या मदतीने आकाशगंगेचा अभ्यास
3007,kruntak (artha: kurtadkhor praani),कृंतक (अर्थ: कुरतडखोर प्राणी)
3008,tyamulech shivaji maharajanchya rajyavyavasthet hervyavasthela atishay mahatva hote.,त्यामुळेच शिवाजी महाराजांच्या राज्यव्यवस्थेत हेरव्यवस्थेला अतिशय महत्त्व होते.
3009,ranga mansanche kathasangrahasathi 'sant dnyaneshwar' puraskar. (august 2001),रंग माणसांचे कथासंग्रहासाठी `संत ज्ञानेश्वर' पुरस्कार. (ऑगस्ट २००१)
3010,hyababtit bardhman zillyacha bharatamadhye 7va kramank lagto.,ह्याबाबतीत बर्धमान जिल्ह्याचा भारतामध्ये ७वा क्रमांक लागतो.
3011,dinkar lokhande balsahitya puraskar,दिनकर लोखंडे बालसाहित्य पुरस्कार
3012,young india hi mahatma gandhini sun 1919 te 1931 paryanta prakashit keleli ingraji saptahik patrika hoti.,यंग इंडिया ही महात्मा गांधींनी सन १९१९ ते १९३१ पर्यंत प्रकाशित केलेली इंग्रजी साप्ताहिक पत्रिका होती.
3013,aplya gallit yeun tyanni aplyala marestovar marle agdi.,आपल्या गल्लीत येउन त्यांनी आपल्याला मरेस्तोवर मारले अगदी.
3014,"ya lekhat sangitlelya sarva ghatna, tasech patranchya janma-mrutyunbabatchi mahiti arthatach kalpanik ahe.","या लेखात सांगितलेल्या सर्व घटना, तसेच पात्रांच्या जन्म-मृत्यूंबाबतची माहिती अर्थातच काल्पनिक आहे."
3015,deshat stalin yanchi ekchatri hukumshahi rajvat hoti.,देशात स्टालिन यांची एकछत्री हुकुमशाही राजवट होती.
